rank,name,team,cur,pos,age,gp,mpg,usg_pct,to_pct,fta,ft_pct,2pa,2p_pct,3pa,3p_pct,efg_pct,ts_pct,ppg,rpg,apg,spg,bpg,topg,p_r,p_a,p_r_a,vi,ortg,drtg,season
,Tyus Jones,Orl,*,G,29.7,40,16.5,9.5,7.5,6,1,48,0.458,88,0.295,0.449,0.462,3.2,1.1,2.4,0.8,0.1,0.3,4.3,5.6,6.7,4.9,115.9,115.6,2025-2026
,Jonathan Isaac,Orl,*,F,28.3,34,10.4,12.7,11.3,43,0.605,48,0.604,30,0.2,0.487,0.526,3,2.8,0.3,0.4,0.5,0.3,5.8,3.3,6,5.2,115.4,107.9,2025-2026
,Anthony Black,Orl,*,G,22,40,30.3,22.6,16.5,155,0.723,311,0.531,178,0.348,0.528,0.564,15.7,4.1,3.9,1.3,0.7,2.4,19.8,19.6,23.7,8.3,108.5,108.2,2025-2026
,Goga Bitadze,Orl,*,C-F,26.5,36,17,11.9,13.1,49,0.735,122,0.73,10,0.2,0.697,0.716,6.1,5.3,1.3,0.8,1.3,0.6,11.4,7.4,12.7,8.2,149.1,100.5,2025-2026
,Tristan da Silva,Orl,*,F,24.7,35,23.2,17.1,9.8,36,0.833,140,0.507,144,0.396,0.551,0.572,9.8,3.6,1.2,0.8,0.2,0.9,13.4,11,14.5,6,112.9,112,2025-2026
,Brandon Ingram,Tor,*,F,28.4,40,33.7,27.8,13.7,184,0.826,495,0.521,197,0.35,0.522,0.566,21.9,6.1,3.7,0.8,0.7,2.8,27.9,25.6,31.7,9.4,108,111.2,2025-2026
,Scottie Barnes,Tor,*,F-G,24.5,41,34.4,23.8,14.7,161,0.826,480,0.55,134,0.336,0.54,0.581,19.4,8.3,5.4,1.3,1.4,2.6,27.7,24.9,33.1,11.1,116.6,106.7,2025-2026
,Jakob Poeltl,Tor,*,C,30.3,21,25.3,14.4,20.6,47,0.596,127,0.693,0,0,0.693,0.691,9.7,7.7,2.1,0.8,0.5,1.6,17.4,11.9,19.6,8.5,128.4,101.8,2025-2026
,RJ Barrett,Tor,*,F-G,25.6,23,30.4,25.6,9.6,103,0.689,215,0.577,124,0.355,0.56,0.587,19.6,5,3.7,0.8,0.2,1.6,24.7,23.3,28.3,9.4,116.3,109.1,2025-2026
,Immanuel Quickley,Tor,*,G,26.6,40,32.5,21.7,11,129,0.791,253,0.51,288,0.347,0.516,0.552,16.5,4.2,6.1,1.2,0.1,1.7,20.7,22.6,26.8,9.2,116.3,111.4,2025-2026
